SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,12736 SE 25th St,Bellevue,WA,98005,985000,4,2.75,Woodridge,2732,10692,1958,1,361,,Active,,,http://www.redfin.com/WA/Bellevue/12736-SE-25th-St-98005/home/507615,NWMLS,1720199,Y,Y,47.5890194,-122.1697366
MLS Listing,,Single Family Residential,1812 NW 77 TH St,Seattle,WA,98117,825000,4,1.75,Loyal Heights,1670,2760,1926,1,494,,Active,,,http://www.redfin.com/WA/Seattle/1812-NW-77th-St-98117/home/167061,NWMLS,1720310,N,Y,47.685185,-122.3806786
MLS Listing,,Single Family Residential,6005 5th Ave NE,Seattle,WA,98115,925000,3,2.0,Green Lake,1680,3500,1907,1,551,,Active,,,http://www.redfin.com/WA/Seattle/6005-5th-Ave-NE-98115/home/304464,NWMLS,1720207,N,Y,47.672515,-122.3237469
MLS Listing,,Townhouse,4322 Greenwood Ave N Unit A,Seattle,WA,98103,950000,3,3.5,Fremont,1872,1739,2008,1,507,,Active,,,http://www.redfin.com/WA/Seattle/4322-Greenwood-Ave-N-98103/unit-A/home/18657133,NWMLS,1719626,N,Y,47.6596875,-122.3551878
MLS Listing,,Single Family Residential,4334 Thackeray Pl NE,Seattle,WA,98105,1225000,4,2.75,Wallingford,2584,3366,1911,1,474,,Active,,,http://www.redfin.com/WA/Seattle/4334-Thackeray-Pl-NE-98105/home/117982,NWMLS,1720083,N,Y,47.6599941,-122.3259464
MLS Listing,,Single Family Residential,14316 20th Ave NE,Seattle,WA,98125,699000,4,2.0,Olympic Hills,1630,7800,1950,1,429,,Active,,,http://www.redfin.com/WA/Seattle/14316-20th-Ave-NE-98125/home/115748,NWMLS,1720070,N,Y,47.7325898,-122.3070033
MLS Listing,,Single Family Residential,3822 30th Ave W,Seattle,WA,98199,850000,3,1.75,Magnolia,1531,4500,1942,1,555,,Active,,,http://www.redfin.com/WA/Seattle/3822-30th-Ave-W-98199/home/127947,NWMLS,1719740,N,Y,47.6548213,-122.3953627
MLS Listing,,Single Family Residential,7332 Alonzo Ave NW,Seattle,WA,98117,899950,4,1.75,Whittier,2330,5000,1945,1,386,,Active,,,http://www.redfin.com/WA/Seattle/7332-Alonzo-Ave-NW-98117/home/497190,NWMLS,1719909,N,Y,47.6823888,-122.3744221
MLS Listing,,Single Family Residential,1101 NW 65th St,Seattle,WA,98117,965000,5,3.0,Ballard,2760,5000,1905,1,350,,Active,,,http://www.redfin.com/WA/Seattle/1101-NW-65th-St-98107/home/494670,NWMLS,1698282,N,Y,47.6758283,-122.3715678
MLS Listing,,Single Family Residential,9018 Phinney Ave N,Seattle,WA,98103,769950,3,1.75,Greenwood,1520,6287,1931,1,507,,Active,,,http://www.redfin.com/WA/Seattle/9018-Phinney-Ave-N-98103/home/99479,NWMLS,1719511,N,Y,47.6947957,-122.3537182
